"BehaviorSpace results (NetLogo 6.0.3)"
"Project_structure.nlogo"
"Main experiment - just final result"
"11/14/2018 18:11:17:764 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","technology-increase","[step]","municipality-stats 0","municipality-stats 1","municipality-stats 2","municipality-stats 3","municipality-stats 4","municipality-stats 5","municipality-stats 6","municipality-stats 7","municipality-stats 8","municipality-stats 9"
"34","0.5","240","33135,-0.02,0.75,0.75,0.75,9,false,false,144","22706,-0.02,0.75,0.75,0.5,6,true,true,155","33088,-0.02,0.75,0.75,0.5,12,true,true,145","22558,-0.03,1,0.5,0.25,6,true,true,144","51976,0,0.75,0.75,0.75,18,false,false,199","23454,-0.01,0.5,1,0.75,18,true,true,132","33040,-0.01,1,0.5,1,12,true,false,192","37230,-0.02,1,0.5,0.5,12,false,false,140","21872,-0.01,1,0.5,0.5,15,true,true,156","13563,-0.07,1,0.5,0.25,18,true,true,192"
"30","0.5","240","45541,-0.24,0.5,1,1,15,false,false,240","66415,-0.07,1,0.5,0.25,15,true,false,192","34018,-0.24,0.5,1,1,9,false,false,240","46901,0,1,0.5,0.25,18,true,false,228","37816,-0.04,1,0.5,0.5,3,true,false,228","51569,-0.09,0.5,1,0.75,18,true,true,240","37519,-0.21,1,0.5,0.75,3,true,true,240","42877,-0.03,0.5,1,1,9,false,true,156","58772,-0.24,0.75,0.75,0.75,12,true,true,204","42384,-0.01,0.75,0.75,0.5,15,true,true,192"
"36","0.5","240","50941,-0.03,1,0.5,0.5,12,false,true,156","27212,-0.07,1,0.5,0.25,6,true,true,222","43658,-0.12,0.5,1,0.75,9,true,false,240","33248,-0.19,0.75,0.75,1,3,true,false,240","63298,-0.07,0.5,1,1,3,false,true,145","61316,-0.02,0.75,0.75,0.25,6,false,false,240","43082,-0.14,0.75,0.75,1,15,true,true,240","49549,-0.12,0.5,1,1,18,false,false,240","35061,-0.09,1,0.5,0.75,18,false,true,204","58796,-0.08,0.5,1,0.25,6,true,false,228"
"37","0.5","240","19452,-0.13,0.5,1,1,12,true,false,240","57290,-0.04,0.75,0.75,0.25,6,false,false,228","18819,-0.03,0.75,0.75,0.25,12,false,true,168","24008,-0.15,0.75,0.75,1,15,true,true,240","50144,-0.1,0.5,1,0.5,9,false,false,192","41944,-0.15,1,0.5,0.75,15,true,true,240","33568,-0.19,1,0.5,0.25,15,true,false,229","37239,-0.03,0.75,0.75,0.5,12,false,true,144","33330,-0.16,0.75,0.75,0.75,15,true,false,240","46089,-0.07,0.5,1,0.75,9,true,false,240"
"31","0.5","240","38480,-0.16,0.75,0.75,0.5,9,false,false,240","16821,-0.03,1,0.5,0.25,9,false,false,144","44204,-0.19,0.5,1,0.75,15,true,true,219","67398,-0.15,0.75,0.75,0.5,18,false,false,192","25289,-0.2,0.75,0.75,0.25,12,true,false,240","33544,-0.2,0.5,1,0.75,18,false,false,240","34468,-0.01,1,0.5,0.5,3,false,true,240","18665,-0.16,0.5,1,1,18,true,false,240","65174,-0.04,0.5,1,0.25,18,true,false,204","23692,-0.15,1,0.5,1,9,true,true,240"
"38","0.5","240","17633,-0.07,1,0.5,0.25,9,true,false,229","34101,-0.23,0.75,0.75,0.75,18,true,true,240","55299,-0.09,0.5,1,0.25,18,false,false,240","23987,-0.13,0.5,1,0.5,15,true,true,240","19061,-0.09,0.75,0.75,0.5,3,false,true,240","49585,-0.11,1,0.5,1,18,false,true,240","27290,-0.13,0.75,0.75,0.75,18,false,false,240","20876,-0.1,0.5,1,0.75,3,false,false,240","56097,-0.18,0.75,0.75,1,18,false,true,240","34643,-0.19,0.5,1,1,6,true,true,240"
"35","0.5","240","30609,-0.25,1,0.5,0.25,15,false,false,240","36860,-0.04,1,0.5,1,12,false,true,144","31885,-0.18,1,0.5,0.75,9,true,true,233","19142,-0.15,1,0.5,0.75,6,true,false,240","33518,-0.17,0.75,0.75,0.5,15,true,false,240","52157,-0.03,0.5,1,0.25,15,false,true,228","37030,-0.02,0.75,0.75,0.25,18,false,false,168","45624,-0.15,0.5,1,0.5,12,false,false,240","53796,-0.16,0.75,0.75,0.5,6,true,false,240","43128,-0.13,0.75,0.75,0.5,9,true,false,240"
"41","0.5","240","27363,-0.07,0.75,0.75,0.25,3,true,false,240","29312,-0.07,1,0.5,0.5,15,true,false,217","64139,-0.06,0.5,1,0.75,15,true,true,144","35622,-0.02,1,0.5,0.5,12,false,true,156","62789,-0.14,0.5,1,0.75,12,false,false,240","37412,-0.12,1,0.5,0.5,12,true,true,240","19751,-0.18,0.5,1,0.5,12,true,false,240","58275,-0.01,0.75,0.75,0.5,9,false,false,229","34056,-0.16,0.5,1,1,12,true,false,240","30164,-0.06,1,0.5,0.75,18,false,true,228"
"40","0.5","240","34285,0.01,1,0.5,0.75,18,true,false,121","39147,-0.05,0.75,0.75,0.75,18,true,false,204","20272,-0.01,0.75,0.75,0.5,3,true,false,192","33913,-0.05,1,0.5,1,3,true,true,156","36905,-0.06,0.5,1,1,18,true,false,228","58166,-0.08,0.5,1,0.75,15,false,false,228","48753,-0.09,0.5,1,0.75,12,true,false,240","47741,-0.03,0.5,1,0.25,15,false,true,204","22641,-0.11,0.5,1,1,9,true,false,240","23891,-0.07,0.5,1,0.75,9,false,false,228"
"42","0.5","240","44102,-0.06,0.75,0.75,0.75,18,false,false,216","32015,-0.05,1,0.5,0.5,12,false,false,228","50391,-0.08,1,0.5,0.25,9,true,true,229","31408,-0.06,1,0.5,0.5,18,true,false,216","23368,-0.02,0.75,0.75,0.25,18,true,true,152","26742,-0.03,0.75,0.75,0.75,3,false,true,156","21594,-0.09,1,0.5,1,18,false,false,240","20857,-0.02,0.75,0.75,0.75,9,true,true,152","38308,-0.1,0.5,1,0.75,18,true,true,240","25062,0,1,0.5,0.5,12,false,false,182"
